"My Course List";"My course list"
"My User Account";"My user account"
"Platform Administration";"Platform administration"
"Platform Administrator";"Platform administrator"
"<span class=\"required\">*</span> denotes required field";"<span class="required">*</span> denotes required field"
"Announcement";"Announcements"
"Create Directory";"Create directory"
"blockCourseDescriptionDescription";"Description"
"Add a comment (optionnal) :";"Add a comment (optional)"
"My personnal course list";"My personal course list"
"Institution Url";"Institution URL"
"Course creation %course_name";"Course created : %course_name"